Eğitim durumunuz nedir?,Öğretim durumu ?,Özel Durumu ?,Kaç kardeşiniz var? (Yoksa 0 girin.),Burs alan kardeşiniz oldu mu ?,Ailevi durum ?,Kira Durumunuz,Eviniz Var mı? kaç tane,Arabanız Var mı? kaç tane,Başvuru Yılı,Başvurduğunuz yıl size Devlet bursu mu yoksa Kredimi çıktı?,Anne Mesleği,Baba Mesleği,Aylık Ev Geliri,Toplam Aile Üyesi Sayısı,Şehir Durumu,Özel_Durumu_Kodlanmış
0,1,1,2,1,1,1,1,1,2022,1,2,1,19139.0,5,1,0
0,1,1,2,1,1,1,1,1,2023,0,2,7,15250.0,5,1,0
0,1,1,1,0,1,1,2,2,2024,1,2,6,41531.0,4,1,0
0,1,1,1,0,1,0,0,1,2020,0,2,1,8634.5,4,0,0
0,1,1,1,0,1,1,2,1,2023,1,10,10,28501.0,4,0,0
0,1,1,2,1,1,1,1,0,2022,0,2,8,21266.0,5,0,0
0,2,1,1,1,1,1,0,1,2021,1,7,1,15125.0,4,0,0
0,2,1,1,1,1,1,1,0,2020,1,3,1,3662.0,4,0,0
0,1,1,1,0,1,1,1,1,2023,1,2,3,25250.0,4,0,0
2,1,1,1,0,1,1,1,1,2023,1,2,12,19750.0,4,1,0
0,1,1,3,0,1,1,1,1,2024,1,2,6,21509.5,6,0,0
2,1,1,3,0,3,0,1,1,2023,1,3,1,19750.0,6,0,0
2,0,1,2,0,1,1,1,1,2020,1,2,3,3662.0,5,0,0
0,1,1,4,0,1,1,1,0,2022,0,3,3,10633.0,7,0,0
0,2,1,1,0,1,1,2,1,2021,1,4,6,15125.0,4,1,0
0,2,1,2,1,1,0,0,0,2020,0,3,3,8634.5,5,0,0
0,1,1,0,0,1,0,0,1,2022,1,10,10,14886.0,3,1,0
